2018-01-19 20:11:21:351	00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:433	00 00 00 0d 00 f1 fa af 00 00 00 00 00 00 00 
2018-01-19 20:11:21:435	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:436	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:438	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:439	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:441	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:443	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:444	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:446	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:447	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:449	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:450	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:451	00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:533	00 00 00 0e 00 f1 fb 13 00 00 00 00 00 00 00 
2018-01-19 20:11:21:535	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:536	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:538	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:539	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:541	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:543	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:544	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:546	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:547	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:549	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:550	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:551	00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:633	00 00 00 0f 00 f1 fb 77 00 00 00 00 00 00 00 
2018-01-19 20:11:21:635	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:636	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:638	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:639	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:641	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:643	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:644	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:646	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:647	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:649	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:650	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:651	00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:733	00 00 00 10 00 f1 fb db 00 00 00 00 00 00 00 
2018-01-19 20:11:21:735	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:736	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:738	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:739	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:741	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:743	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:744	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:746	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:747	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:749	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:750	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:751	00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:833	00 00 00 11 00 f1 fc 3f 00 00 00 00 00 00 00 
2018-01-19 20:11:21:835	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:836	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:838	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:839	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:841	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:843	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:844	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:846	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:847	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:849	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:850	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:851	00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:933	00 00 00 12 00 f1 fc a3 00 00 00 00 00 00 00 
2018-01-19 20:11:21:935	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:936	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:938	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:939	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:941	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:943	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:944	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:946	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:947	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:949	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:950	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:21:951	00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:22:033	00 00 00 13 00 f1 fd 07 00 00 00 00 00 00 00 
2018-01-19 20:11:22:035	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:22:036	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:22:038	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:22:039	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:22:041	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:22:043	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:22:044	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:22:046	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:22:047	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:22:049	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:22:050	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:22:051	00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:22:133	00 00 00 14 00 f1 fd 6b 00 00 00 00 00 00 00 
2018-01-19 20:11:22:135	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:22:136	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:22:138	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:22:139	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:22:141	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:22:143	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:22:144	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:22:146	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:22:147	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:22:149	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:22:150	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:22:151	00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:22:233	00 00 00 15 00 f1 fd cf 00 00 00 00 00 00 00 
2018-01-19 20:11:22:235	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:22:236	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:22:238	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:22:239	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
2018-01-19 20:11:22:241	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
